lh	ps	id	wt	rw	alh	aps	aid	awt	arw	time1	time2	time3	time4	time5
-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	8741	8743	8777	8733	8736
1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	18098	18042	17930	18026	17634
-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	14493	14469	14478	14448	14360
1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	10191	10185	10199	10118	10200
-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	14914	14873	15060	15063	15026
1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	10423	10199	10345	10421	10422
-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	16648	16652	16658	16653	16565
1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	8534	10149	8492	8480	8538
-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	15085	15111	15108	15115	15122
1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	10624	10624	10644	10646	10579
-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	16840	16837	16864	48536	16806
1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	8645	8597	8587	8580	8582
-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	17046	16923	17046	17065	17058
1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	9012	8932	12589	8944	8958
-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	14167	14143	14077	14792	14082
1	1	1	1	1	0.28	60	0.15	0.8	0.8	9574	9521	9466	9448	9459
